Host,Name,IP,Groups,Tags
PE-OPANG-SW 02,PE-OPANG-SW 02,10.231.50.8,"switch, PE-OPANG","marca:cisco, modelo:C9200L-24P-4X"
PE-OPANG-SW 04,PE-OPANG-SW 04,10.231.50.10,"switch, PE-OPANG","marca:cisco, modelo:C9200L-24P-4X"
PE-OPANG-SW 03,PE-OPANG-SW 03,10.231.50.9,"switch, PE-OPANG","marca:cisco, modelo:C9200L-24P-4X"
PE-OPANG-SW 05,PE-OPANG-SW 05,10.231.50.11,"switch, PE-OPANG","marca:cisco, modelo:C9200L-24P-4X"
PE-PTJ-COP-SW-01,PE-PTJ-COP-SW-01,10.255.11.253,PE-PTJ-COP,
PE-PBE-COP-SW-17,PE-PBE-COP-SW-17,10.255.1.235,PE-MBV-COP,Switch:SW_COP_MPB_Boulevar_F
PE-OPANG-SW-13,PE-OPANG-SW-13,10.231.50.13,"switch, PE-OPANG","marca:cisco, modelo:c9200l-24p-4g"
PE-OPANG-SW-14,PE-OPANG-SW-14,10.231.50.14,switch,"marca:cisco, modelo:C9200l-24p-4x"
PE-OPANG-SW-15,PE-OPANG-SW-15,10.231.50.15,"switch, PE-OPANG","marca:cisco, modelo:C9200l-48p-4x"
PE-OPHYO-SW 01,PE-OPHYO-SW 01,10.233.50.8,"switch, PE-OPHYO","marca:cisco, modelo:C9200L-24P-4X"
PE-OPANG-SW-16,PE-OPANG-SW-16,10.231.50.16,switch,"marca:cisco, modelo:C9200l-48p-4x"
PE-PBE-COP-SW-18,PE-PBE-COP-SW-18,10.255.3.200,PE-MBV-COP,"Switch:MPBE_SW_Z3_SW_CISCO_2020, marca:cisco, modelo:C9200L-24P-4G"
PE-OPANG-SW-17,PE-OPANG-SW-17,10.231.50.17,"switch, PE-OPANG","marca:cisco, modelo:C9200l-48p-4x"
PE-OPHYO-SW 06,PE-OPHYO-SW 06,10.233.50.7,"switch, PE-OPHYO","marca:cisco, modelo:C9200L-24P-4X"
PE-OPANG-SW-19,PE-OPANG-SW-19,10.231.50.19,"switch, PE-OPANG","marca:cisco, modelo:C9200l-48p-4x"
PE-PTJ-COP-SW-05,PE-PTJ-COP-SW-05,10.255.11.244,PE-PTJ-COP,Switch:SW_COP_RACK2_MPT
PE-PBE-COP-SW-19,PE-PBE-COP-SW-19,10.255.3.201,PE-MBV-COP,"marca:cisco, modelo:C9200L-24P-4G, Switch:SW_CISCO_SOTANO_2020"
PE-PBE-COP-SW-CORE-01,PE-PBE-COP-SW-CORE-01,10.255.0.1,PE-MBV-COP,
PE-PBE-COP-SW-13,PE-PBE-COP-SW-13,10.255.1.239,PE-MBV-COP,Switch:SW-COP-MPB_Z3
PE-PTJ-COP-SW-04,PE-PTJ-COP-SW-04,10.255.11.245,PE-PTJ-COP,Switch:SW_COP_Rack1_MPT
PE-PTJ-COP-SW-07,PE-PTJ-COP-SW-07,10.255.11.247,PE-PTJ-COP,Switch:SW_COP_RACK4_MPT
PE-PTJ-COP-SW-10,PE-PTJ-COP-SW-10,10.255.11.248,PE-PTJ-COP,Switch:SW_COP_RACK7_MPT
PE-PTJ-COP-SW-CORE-01,PE-PTJ-COP-SW-CORE-01,10.255.10.1,PE-PTJ-COP,
PE-PTJ-COP-SW-06,PE-PTJ-COP-SW-06,10.255.11.246,PE-PTJ-COP,Switch:SW_COP_RACK3_MPT
PE-PTJ-COP-SW-CORE-02,PE-PTJ-COP-SW-CORE-02,10.255.11.250,PE-PTJ-COP,
PE-PTJ-COP-SW-08,PE-PTJ-COP-SW-08,10.255.11.249,PE-PTJ-COP,Switch:SW_COP_RACK5_MPT
PE-PTJ-COP-SW-09,PE-PTJ-COP-SW-09,10.255.11.243,PE-PTJ-COP,Switch:SW_COP_RACK6_MPT
CL-PEG-TI-SW-CORE,CL-PEG-TI-SW-CORE,10.21.0.2,"CL-PEG-TI, switch","filtro-inventario:switch, marca:huawei, modelo:S5735-L48P4X-A1"
PE-OPPIU-SW 02,PE-OPPIU-SW 02,10.232.50.3,switch,"marca:cisco, modelo:C9200L-24P-4X"
PE-PBE-COP-SW-02,PE-PBE-COP-SW-02,10.255.3.253,PE-MBV-COP,
PE-PBE-COP-SW-01,PE-PBE-COP-SW-01,10.255.3.252,PE-MBV-COP,
PE-PBE-COP-SW-03,PE-PBE-COP-SW-03,10.255.3.251,PE-MBV-COP,
PE-MBV-TI-SW-01,PE-MBV-TI-SW-01,10.225.50.2,"PE-MBV-TI, switch","marca:cisco, modelo:WS-C2960X-24PS-L"
PE-MAQ-TI-SW-01,PE-MAQ-TI-SW-01,10.224.50.2,"PE-MAQ-TI, switch","marca:cisco, modelo:WS-C2960X-24PS-L"
PE-MAQ-TI-SW-FLUJOS,PE-MAQ-TI-SW-FLUJOS,192.168.50.7,PE-MAQ-TI,
CL-PEG-COP-SW-23,CL-PEG-COP-SW-23,10.150.35.245,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C3560C-8PC-S"
CL-PEG-COP-SW-26,CL-PEG-COP-SW-26,10.150.35.247,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C3560C-8PC-S"
CL-PEG-COP-SW-24,CL-PEG-COP-SW-24,10.150.35.246,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C3560C-8PC-S"
PE-MAQ-COP-SW-10,PE-MAQ-COP-SW-10,10.255.21.248,PE-MAQ-COP,Switch:SW_COP_RACK7_MPA
PE-MAQ-COP-SW-01,PE-MAQ-COP-SW-01,10.255.21.254,PE-MAQ-COP,
PE-MAQ-COP-SW-03,PE-MAQ-COP-SW-03,10.255.21.249,PE-MAQ-COP,
