Hostname,IP,Ping_OK
PE-OPANG-SW 02,10.231.50.8,TRUE
PE-OPANG-SW 04,10.231.50.10,TRUE
PE-OPANG-SW 03,10.231.50.9,TRUE
PE-OPANG-SW 05,10.231.50.11,TRUE
PE-PTJ-COP-SW-01,10.255.11.253,TRUE
PE-PBE-COP-SW-17,10.255.1.235,TRUE
PE-OPANG-SW-13,10.231.50.13,TRUE
PE-OPANG-SW-14,10.231.50.14,TRUE
PE-OPANG-SW-15,10.231.50.15,TRUE
PE-OPHYO-SW 01,10.233.50.8,TRUE
PE-OPANG-SW-16,10.231.50.16,TRUE
PE-PBE-COP-SW-18,10.255.3.200,TRUE
PE-OPANG-SW-17,10.231.50.17,TRUE
PE-OPHYO-SW 06,10.233.50.7,TRUE
PE-OPANG-SW-19,10.231.50.19,TRUE
PE-PTJ-COP-SW-05,10.255.11.244,TRUE
PE-PBE-COP-SW-19,10.255.3.201,TRUE
PE-PBE-COP-SW-CORE-01,10.255.0.1,TRUE
PE-PBE-COP-SW-13,10.255.1.239,TRUE
PE-PTJ-COP-SW-04,10.255.11.245,TRUE
PE-PTJ-COP-SW-07,10.255.11.247,TRUE
PE-PTJ-COP-SW-10,10.255.11.248,TRUE
PE-PTJ-COP-SW-CORE-01,10.255.10.1,TRUE
PE-PTJ-COP-SW-06,10.255.11.246,TRUE
PE-PTJ-COP-SW-CORE-02,10.255.11.250,TRUE
PE-PTJ-COP-SW-08,10.255.11.249,TRUE
PE-PTJ-COP-SW-09,10.255.11.243,TRUE
CL-PEG-TI-SW-CORE,10.21.0.2,TRUE
PE-OPPIU-SW 02,10.232.50.3,TRUE
PE-PBE-COP-SW-02,10.255.3.253,TRUE
PE-PBE-COP-SW-01,10.255.3.252,TRUE
PE-PBE-COP-SW-03,10.255.3.251,TRUE
PE-MBV-TI-SW-01,10.225.50.2,TRUE
PE-MAQ-TI-SW-01,10.224.50.2,TRUE
PE-MAQ-TI-SW-FLUJOS,192.168.50.7,FALSE
CL-PEG-COP-SW-23,10.150.35.245,TRUE
CL-PEG-COP-SW-26,10.150.35.247,TRUE
CL-PEG-COP-SW-24,10.150.35.246,TRUE
PE-MAQ-COP-SW-10,10.255.21.248,TRUE
PE-MAQ-COP-SW-01,10.255.21.254,TRUE
PE-MAQ-COP-SW-03,10.255.21.249,TRUE
PE-MAQ-COP-SW-02,10.255.21.250,TRUE
PE-MAQ-COP-SW-05,10.255.21.243,TRUE
PE-MAQ-COP-SW-04,10.255.21.242,TRUE
PE-MAQ-COP-SW-06,10.255.21.244,TRUE
