Host,Name,IP,Groups,Tags
CL-PAL-TI-ACC-08,CL-PAL-TI-ACC-08,10.10.2.8,"CL-PAL-TI, FLUJOS",
CL-PVE-COP-CIT-9,CL-PVE-COP-CIT-9,10.160.4.11,"CL-PVE-COP, CITOFONIA",
CL-PLS-PK-SW-02,CL-PLS-PK-SW-02,10.124.113.4,"switch, CL-PLS-PK","marca:aruba, modelo:2930F-24G-PoE+-4SFP+, red:parking"
CL-PCO-COP-CAM-05,CL-PCO-COP-CAM-05,10.152.28.88,CL-PCO-COP,
CL-PIQ-COP-SW-CORE,CL-PIQ-COP-SW-CORE,10.215.47.249,CL-PIQ-COP,"marca:huawei, modelo:S6730-H48X6C"
CL-PVE-COP-CAM-493,CL-PVE-COP-CAM-493,10.150.125.170,CL-PVE-COP,
CL-PTR-COP-CIT-8,CL-PTR-COP-CIT-8,10.160.20.13,"CL-PTR-COP, CITOFONIA",
CL-PTR-COP-COM-03,CL-PTR-COP-COM-03,30.150.21.12,"PME, CL-PTR-COP",
CL-PLS-COP-CAM-244,CL-PLS-COP-CAM-244,10.150.135.51,CL-PLS-COP,
CL-PTR-COP-COM-09,CL-PTR-COP-COM-09,30.150.21.18,"PME, CL-PTR-COP",
CL-PTR-TI-ACC-04,CL-PTR-TI-ACC-04,10.4.2.45,"CL-PTR-TI, FLUJOS",
CL-PLD-PK-SW-CORE,CL-PLD-PK-SW-CORE,10.121.194.2,"CL-PLD-PK, switch","marca:huawei, modelo:S5735-L48P4X-A1, red:parking"
CL-PVE-PK-SW-03,CL-PVE-PK-SW-03,10.121.225.5,"CL-PVE-PK, switch","marca:aruba, modelo:2930F-48G-740W-PoE+-4SFP+, red:parking"
mplrgazansibp01,CL-AZ-TI-ANSIBLE,10.92.6.28,"Linux servers, servers, AZURE","SO:Linux, SO_VERSION:LSU22.04, BD:NA, HW:Virtual, MODELO:NA, AREA:Infraestructura y redes"
CL-PTR-PK-SW-20,CL-PTR-PK-SW-20,10.124.2.24,"CL-PTR-PK, switch","marca:aruba, red:parking, modelo:2530-24G-PoE+"
CL-PAN-TI-RT-01,CL-PAN-TI-RT-01,10.205.255.253,"CL-PAN-TI, routers, routers-ti, router-cl-ti",
CL-PSU-TI-ACC-17,CL-PSU-TI-ACC-17,10.11.2.20,"CL-PSU-TI, FLUJOS",
CL-PAL-TI-ACC-09,CL-PAL-TI-ACC-09,10.10.2.9,"CL-PAL-TI, FLUJOS",
CL-PTR-COP-COM-10,CL-PTR-COP-COM-10,30.150.21.19,"PME, CL-PTR-COP",
CL-PLS-PK-SW-03,CL-PLS-PK-SW-03,10.124.113.6,"switch, CL-PLS-PK","marca:aruba, modelo:2930F-24G-PoE+-4SFP+, red:parking"
CL-PTR-COP-COM-08,CL-PTR-COP-COM-08,30.150.21.17,"PME, CL-PTR-COP",
CL-PLD-PK-SW-07,CL-PLD-PK-SW-07,10.121.194.224,"CL-PLD-PK, switch, Switch-Parking","marca:cisco, modelo:SF200-24, red:parking"
CL-PCA-COP-CAM-01,CL-PCA-COP-CAM-01,10.150.14.222,CL-PCA-COP,nivel:critico
CL-PTR-COP-COM-06,CL-PTR-COP-COM-06,30.150.21.15,"PME, CL-PTR-COP",
CL-PTR-COP-COM-13,CL-PTR-COP-COM-13,30.150.21.22,"PME, CL-PTR-COP",
CL-PTR-COP-COM-15,CL-PTR-COP-COM-15,30.150.21.24,"PME, CL-PTR-COP",
CL-PTR-COP-COM-14,CL-PTR-COP-COM-14,30.150.21.23,"PME, CL-PTR-COP",
CL-PTR-COP-COM-16,CL-PTR-COP-COM-16,30.150.21.25,"PME, CL-PTR-COP",
CL-PTR-COP-COM-12,CL-PTR-COP-COM-12,30.150.21.21,"PME, CL-PTR-COP",
CL-CM-TI-P7-AP-07,CL-CM-TI-P7-AP-07,10.1.5.3,"CL-CM-TI, CL-TI-ADM, AP","marca:cisco, modelo:C9120AXI-A"
CL-PVE-COP-SW-CORE,CL-PVE-COP-SW-CORE,10.160.4.1,CL-PVE-COP,"modelo:C9500-48Y4C, marca:cisco"
CL-PTR-TI-ACC-05,CL-PTR-TI-ACC-05,10.4.2.43,"CL-PTR-TI, FLUJOS",
PE-OPANG-SW 02,PE-OPANG-SW 02,10.231.50.8,"switch, PE-OPANG","marca:cisco, modelo:C9200L-24P-4X"
CL-PBB-TI-RT-01,CL-PBB-TI-RT-01,10.209.255.253,"CL-PBB-TI, routers, routers-ti, router-cl-ti",
CL-PCA-TI-RT-01,CL-PCA-TI-RT-01,10.216.255.253,"CL-PCA-TI, routers, routers-ti, router-cl-ti",
CL-PSU-TI-ACC-18,CL-PSU-TI-ACC-18,10.11.2.21,"CL-PSU-TI, FLUJOS",
CL-PSU-TI-ACC-19,CL-PSU-TI-ACC-19,10.11.2.18,"CL-PSU-TI, FLUJOS",
CL-PTR-COP-COM-17,CL-PTR-COP-COM-17,30.150.21.26,"PME, CL-PTR-COP",
CL-PLS-COP-CAM-193,CL-PLS-COP-CAM-193,10.150.135.38,CL-PLS-COP,
CL-PLS-PK-SW-04,CL-PLS-PK-SW-04,10.124.113.7,"switch, CL-PLS-PK","marca:aruba, modelo:2930F-24G-PoE+-4SFP+, red:parking"
CL-PTR-COP-COM-20,CL-PTR-COP-COM-20,30.150.21.29,"PME, CL-PTR-COP",
CL-PTR-COP-SW-08,CL-PTR-COP-SW-08,10.150.20.250,"CL-PTR-COP, switch","marca:cisco, modelo:CBS350-48FP-4G"
CL-PLD-PK-SW-10,CL-PLD-PK-SW-10,10.121.194.233,"CL-PLD-PK, switch, Switch-Parking","marca:cisco, modelo:SF200-24, red:parking"
CL-PTR-PK-SW-21,CL-PTR-PK-SW-21,10.124.2.25,"CL-PTR-PK, switch","marca:aruba, modelo:2530-24G-PoE+, red:parking"
CL-PVE-TI-RT-01,CL-PVE-TI-RT-01,10.211.255.253,"CL-PVE-TI, routers, routers-ti, router-cl-ti",
CL-PSU-TI-ACC-20,CL-PSU-TI-ACC-20,10.11.2.27,"CL-PSU-TI, FLUJOS",
CL-PTR-COP-SW-09,CL-PTR-COP-SW-09,10.150.20.251,"CL-PTR-COP, switch","marca:cisco, modelo:CBS350-48FP-4G"
PE-OPATO-TI-ACC 01,PE-OPATO-TI-ACC 01,10.234.8.201,"FLUJOS, PE-OPATO",
SW1-R5-P-4,SW1-R5-P-4,10.121.194.251,"switch, CL-PCO-PK","marca:cisco, modelo:SF200-24, red:parking"
CL-DC-FW-01_2,CL-DC-FW-01_2,10.15.0.247,"CL-DC-TI, Firewalls",
CL-PAL-TI-CC-02,CL-PAL-TI-CC-02,10.10.0.24,CL-PAL-TI,
CL-PLS-PK-SW-06,CL-PLS-PK-SW-06,10.124.113.5,"switch, CL-PLS-PK","marca:aruba, modelo:2930F-24G-PoE+-4SFP+, red:parking"
CL-PAL-TI-CC-03,CL-PAL-TI-CC-03,10.10.0.220,CL-PAL-TI,
CL-PSU-TI-ACC-21,CL-PSU-TI-ACC-21,10.11.2.22,"CL-PSU-TI, FLUJOS",
CL-PSU-TI-ACC-22,CL-PSU-TI-ACC-22,10.11.2.13,"CL-PSU-TI, FLUJOS",
CL-PLS-COP-CAM-214,CL-PLS-COP-CAM-214,10.150.135.98,CL-PLS-COP,
CL-PLS-COP-CAM-087,CL-PLS-COP-CAM-087,10.150.30.107,CL-PLS-COP,
CL-PSU-TI-ACC-23,CL-PSU-TI-ACC-23,10.11.2.28,"CL-PSU-TI, FLUJOS",
CL-PVE-PK-SW-08,CL-PVE-PK-SW-08,10.121.225.10,"CL-PVE-PK, switch","red:parking, marca:aruba, modelo:2930F-48G-740W-PoE+-4SFP+"
mplclazaddcp01,CL-AZ-TI-AD-DC-01,10.92.1.4,"Virtual machines, servers, AZURE, Windows Server","SO:Windows, SO_VERSION:WS2019, BD:NA, HW:Virtual, MODELO:NA, AREA:Infraestructura y redes"
CL-PVE-PK-SW-07,CL-PVE-PK-SW-07,10.121.225.9,"CL-PVE-PK, switch","red:parking, marca:aruba, modelo:2930F-48G-740W-PoE+-4SFP+"
CL-PVE-PK-SW-06,CL-PVE-PK-SW-06,10.121.225.8,"CL-PVE-PK, switch","red:parking, marca:aruba, modelo:2930F-48G-740W-PoE+-4SFP+"
PE-OPANG-SW 04,PE-OPANG-SW 04,10.231.50.10,"switch, PE-OPANG","marca:cisco, modelo:C9200L-24P-4X"
CL-PAL-TI-PC-CLAN-01,CL-PAL-TI-PC-CLAN-01,10.10.1.75,CL-PAL-TI,
CL-PVE-COP-CAM-481,CL-PVE-COP-CAM-481,10.150.125.188,CL-PVE-COP,
CL-PVE-COP-CAM-105,CL-PVE-COP-CAM-105,10.150.4.237,CL-PVE-COP,
PE-OPATO-TI-ACC 02,PE-OPATO-TI-ACC 02,10.234.8.202,"FLUJOS, PE-OPATO",
PE-MCO-COP-CAM-73,PE-MCO-COP-CAM-73,10.255.30.94,PE-MCO-COP,
CL-PLS-PK-SW-05,CL-PLS-PK-SW-05,10.124.113.9,"switch, CL-PLS-PK","marca:aruba, modelo:2930F-48G-740W-PoE+-4SFP+, red:parking"
PE-MCO-COP-CAM-45,PE-MCO-COP-CAM-45,10.255.30.66,PE-MCO-COP,
PE-MCO-COP-CAM-44,PE-MCO-COP-CAM-44,10.255.30.65,PE-MCO-COP,
PE-MCO-TI-UPS-01,PE-MCO-TI-UPS-01,192.168.20.200,PE-MCO-TI,
mplclazdbnetp02,CL-AZ-PK-DBNET-02,10.92.18.8,"servers, AZURE, DBNET, Windows Server","SO:Windows, SO_VERSION:WS2019, BD:NA, HW:Virtual, MODELO:NA, AREA:Parking"
Extranet,CL-DC-TI-EXTRANET,10.15.1.154,"Virtual machines, servers, CL-DC-TI, SAP, Windows Server","SO:Windows, SO_VERSION:WS2012, BD:SQL2012, HW:Virtual, MODELO:NA, AREA:CDN-App"
CL-PLA-PK-SRV-02,CL-PLA-PK-SRV-02,10.121.98.191,"servers, servidores-PK, ServerParking","AREA:Parking, SO:VMware, SO_VERSION:ESX7"
PE-OPANG-SW 03,PE-OPANG-SW 03,10.231.50.9,"switch, PE-OPANG","marca:cisco, modelo:C9200L-24P-4X"
